"","X","Y","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area","ordinal_day","log_area","boxcox_ffmc","log_isi","log_RH","log_rain"
"6",8,6,92.3,85.3,488,14.7,22.2,29,5.4,0,0,7,0,0.890511365671336,2.75366071235426,3.40119738166216,0
"7",8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0,0,1,0,0.890511365671336,2.2512917986065,3.3322045101752,0
"8",8,6,91.5,145.4,608.2,10.7,8,86,2.2,0,0,1,0,0.868612108868087,2.45958884180371,4.46590811865458,0
"9",8,6,91,129.5,692.6,7,13.1,63,5.4,0,0,2,0,0.855021873406793,2.07944154167984,4.15888308335967,0
"10",7,5,92.5,88,698.6,7.1,22.8,40,4,0,0,6,0,0.896015964488192,2.09186406167839,3.71357206670431,0
"11",7,5,92.5,88,698.6,7.1,17.8,51,7.2,0,0,6,0,0.896015964488192,2.09186406167839,3.95124371858143,0
"12",7,5,92.8,73.2,713,22.6,19.3,38,4,0,0,6,0,0.904295201167826,3.16124671203156,3.66356164612965,0
"13",6,5,63.5,70.8,665.3,0.8,17,72,6.7,0,0,5,0,0.222230697888471,0.587786664902119,4.29045944114839,0
"14",6,5,90.9,126.5,686.5,7,21.3,42,2.2,0,0,1,0,0.85231276170625,2.07944154167984,3.76120011569356,0
"15",6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0,0,3,0,0.907060903647922,2.32238772029023,3.09104245335832,0
"16",6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0,0,5,0,0.918153498163136,2.70136121295141,3.80666248977032,0
"21",6,4,91,129.5,692.6,7,18.3,40,2.7,0,0,2,0,0.855021873406793,2.07944154167984,3.71357206670431,0
"22",5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0,0,1,0,0.876801991703126,2.32238772029023,3.66356164612965,0
"24",7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0,0,6,0,0.833432376820908,1.97408102602201,3.78418963391826,0
"25",7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0,0,6,0,0.923717666174362,3.05870707271538,3.49650756146648,0
"26",7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0,0,7,0,0.865888104848815,2.45100509811232,4.11087386417331,0
"27",7,4,92.4,117.9,668,12.2,19,34,5.8,0,0,5,0,0.893262175849317,2.58021682959233,3.55534806148941,0
"28",7,4,90.9,126.5,686.5,7,19.4,48,1.3,0,0,1,0,0.85231276170625,2.07944154167984,3.89182029811063,0
"29",6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0,0,6,0,0.920934092939476,2.2082744135228,3.2188758248682,0
"30",6,3,93.5,149.3,728.6,8.1,22.8,39,3.6,0,0,7,0,0.923717666174362,2.2082744135228,3.68887945411394,0
"31",6,3,94.3,85.1,692.3,15.9,25.4,24,3.6,0,0,5,0,0.946093476533177,2.82731362192903,3.2188758248682,0
"32",6,3,88.6,91.8,709.9,7.1,11.2,78,7.6,0,0,1,0,0.790825249274601,2.09186406167839,4.36944785246702,0
"33",6,3,88.6,69.7,706.8,5.8,20.6,37,1.8,0,0,5,0,0.790825249274601,1.91692261218206,3.63758615972639,0
"34",6,3,91.7,75.6,718.3,7.8,17.7,39,3.6,0,0,7,0,0.87406905229548,2.17475172148416,3.68887945411394,0
"35",6,3,91.8,78.5,724.3,9.2,21.2,32,2.7,0,0,1,0,0.876801991703126,2.32238772029023,3.49650756146648,0
"36",6,3,90.3,80.7,730.2,6.3,18.2,62,4.5,0,0,2,0,0.836120639265151,1.98787434815435,4.14313472639153,0
"42",4,4,90.2,96.9,624.2,8.9,18.4,42,6.7,0,0,6,0,0.833432376820908,2.29253475714054,3.76120011569356,0
